run,heuristic_name,found,path_cost,nodes_expanded,time_ms
36,Euclidean,1,37.0,330,0.3606999816838652
36,Chebyshev,1,37.0,391,0.4665000014938414
37,Manhattan,1,6.0,10,0.02039998071268201
37,Euclidean,1,6.0,10,0.018999999156221747
37,Chebyshev,1,6.0,13,0.023800006601959467
38,Manhattan,1,23.0,91,0.10959999053739011
38,Euclidean,1,23.0,125,0.14379998901858926
38,Chebyshev,1,23.0,156,0.1984999980777502
39,Manhattan,1,25.0,81,0.09839999256655574
39,Euclidean,1,25.0,121,0.1446999958716333
39,Chebyshev,1,25.0,168,0.21249998826533556
40,Manhattan,1,45.0,295,0.34929998219013214
40,Euclidean,1,45.0,508,0.5642999894917011
40,Chebyshev,1,45.0,620,0.7520999934058636
41,Manhattan,1,16.0,54,0.0706000137142837
41,Euclidean,1,16.0,67,0.08090000483207405
41,Chebyshev,1,16.0,82,0.10730000212788582
42,Manhattan,1,48.0,303,0.3555000002961606
42,Euclidean,1,48.0,546,0.5943999858573079
42,Chebyshev,1,48.0,676,0.8218000002671033
43,Manhattan,1,16.0,63,0.08060000254772604
43,Euclidean,1,16.0,81,0.1016999885905534
43,Chebyshev,1,16.0,98,0.12479998986236751
44,Manhattan,1,34.0,177,0.2114000089932233
44,Euclidean,1,34.0,236,0.2624999906402081
44,Chebyshev,1,34.0,249,0.29949998133815825
45,Manhattan,1,15.0,37,0.05119998240843415
45,Euclidean,1,15.0,52,0.066100008552894
45,Chebyshev,1,15.0,70,0.09349998435936868
46,Manhattan,1,48.0,310,0.3758999810088426
46,Euclidean,1,48.0,514,0.5603000172413886
46,Chebyshev,1,48.0,661,0.8456000068690628
47,Manhattan,1,42.0,243,0.2846000134013593
47,Euclidean,1,42.0,425,0.4707000043708831
47,Chebyshev,1,42.0,494,0.5887000006623566
48,Manhattan,1,36.0,132,0.15199999324977398
48,Euclidean,1,36.0,194,0.22190000163391232
48,Chebyshev,1,36.0,240,0.29230001382529736
49,Manhattan,1,30.0,68,0.08830000297166407
49,Euclidean,1,30.0,132,0.16259998665191233
49,Chebyshev,1,30.0,196,0.24780002422630787
